Rank;Flag;Country or Area;Average Temperature (1991-2020) (°C);Coldest Month (1991-2020) (°C);Hottest Month (1991-2020) (°C);Variation (1991-2020) (°C)
123;;Jordan;19.42;6.00;29.90;23.90
124;;Rwanda;19.41;17.60;20.70;3.10
125;;Syrian Arab Republic;18.58;3.20;31.60;28.40
126;;South Africa;18.28;9.70;24.90;15.20
127;;Morocco;18.04;8.20;28.60;20.40
128;;Uruguay;17.93;8.80;25.80;17.00
129;;Iran (Islamic Republic of);17.86;-0.10;31.30;31.40
130;;Turkmenistan;16.14;-6.80;32.40;39.20
131;;Lebanon;16.00;3.50;26.40;22.90
132;;Portugal;15.62;7.30;24.40;17.10
133;;Argentina;14.55;5.20;22.50;17.30
134;;Greece;14.24;2.20;25.60;23.40
135;;Monaco;13.95;3.40;24.60;21.20
136;;Spain;13.93;4.20;24.60;20.40
137;;Afghanistan;13.57;-4.00;27.10;31.10
138;;Uzbekistan;13.34;-11.60;30.60;42.20
139;;Nepal;13.21;2.70;20.80;18.10
140;;Azerbaijan;12.93;-5.20;27.80;33.00
141;;Italy;12.81;1.70;24.20;22.50
142;;Lesotho;12.65;4.60;19.00;14.40
143;;Albania;12.03;-0.60;23.60;24.20
144;;Bhutan;11.98;2.30;18.60;16.30
145;;France;11.69;1.00;22.80;21.80
146;;Croatia;11.66;-2.80;23.80;26.60
146;;Turkey;11.66;-3.50;24.60;28.10
148;;Republic of Korea;11.40;-6.70;26.50;33.20
149;;Bulgaria;11.31;-4.00;23.80;27.80
150;;Serbia;11.28;-4.80;23.90;28.70
151;;Hungary;11.15;-5.20;23.90;29.10
152;;Japan;11.13;-2.20;25.30;27.50
153;;Belgium;10.68;-1.10;21.60;22.70
154;;Republic of Moldova;10.66;-7.40;24.80;32.20
155;;North Macedonia;10.64;-3.90;22.90;26.80
156;;Netherlands;10.40;-1.00;21.00;22.00
157;;Bosnia and Herzegovina;10.24;-4.20;22.60;26.80
158;;New Zealand;10.11;3.60;17.30;13.70
159;;Luxembourg;10.02;-2.70;22.10;24.80
160;;Romania;9.86;-6.50;22.60;29.10
161;;Ireland;9.67;1.80;17.20;15.40
162;;Germany;9.63;-3.60;21.70;25.30
163;;Slovenia;9.58;-4.10;21.70;25.80
164;;Ukraine;9.25;-9.30;23.70;33.00
165;;Montenegro;9.19;-4.80;21.60;26.40
166;;Andorra;9.18;-2.10;20.60;22.70
167;;United Kingdom of Great Britain and Northern Ireland;9.07;0.10;17.20;17.10
168;;Poland;8.85;-6.70;21.30;28.00
169;;Denmark;8.76;-3.90;19.70;23.60
170;;Czechia;8.73;-5.80;21.20;27.00
171;;Chile;8.71;2.70;14.10;11.40
172;;Slovakia;8.34;-7.20;20.90;28.10
173;;Georgia;7.67;-10.60;21.60;32.20
174;;United States of America;7.63;-6.90;21.40;28.30
175;;Belarus;7.50;-11.30;21.70;33.00
176;;Lithuania;7.43;-10.60;21.20;31.80
177;;Austria;7.25;-6.00;19.20;25.20
178;;Armenia;7.15;-13.30;22.70;36.00
179;;China;7.10;-10.50;21.00;31.50
180;;Kazakhstan;6.91;-18.00;25.50;43.50
181;;Latvia;6.86;-10.90;21.00;31.90
182;;Liechtenstein;6.71;-5.70;18.40;24.10
